model,algo,config,bpp,attempt,ppl_wikitext,ppl_c4,load_mem_allot,model_storage_size,quant_duration,param_count
Llama-2-13b-hf,awq,b4g64,4.25,,4.71029,6.5293,7.1,6.98,883.8464283943176,13000000000
Llama-2-13b-hf,awq,b4g128,4.13,,4.7113,6.5489,6.92,6.75,812.8657555580139,13000000000
Llama-2-13b-hf,awq,b4g32,4.51,,4.6865,6.508,7.59,7.44,1059.5766835212708,13000000000
Llama-2-7b-hf,fp16,base,16,,5.1847,6.9453,12.55,12.55,,7000000000
Meta-Llama-3-8B,fp16,base,16,,5.8132,8.9824,14.96,14.96,,8000000000
Llama-2-13b-hf,fp16,base,16,,4.6301,6.4458,19.21,24.24,,13000000000
Llama-2-7b-hf,gptq,b3g128,3.13,,6.3173,8.2991,2.87,2.87,817.5435881614685,7000000000
Meta-Llama-3-8B,gptq,b4g128,4.13,,97.0309,27.7734,6.33,5.34,966.0167262554168,8000000000
Llama-2-7b-hf,gptq,b3g32,3.51,,5.9409,7.8088,3.2,3.2,826.258552312851,7000000000
Llama-2-7b-hf,gptq,b3g64,3.25,,6.1327,8.0688,2.98,2.98,818.5346009731293,7000000000
Meta-Llama-3-8B,gptq,b3g128,3.13,,52.779,30.0427,4.52,4.52,967.3104581832886,8000000000
Meta-Llama-3-8B,gptq,b4g32,4.51,,8.805,10.4355,6.71,5.72,980.0271611213684,8000000000
Llama-2-13b-hf,gptq,b3g128,3.13,,5.2384,7.1918,5.27,5.27,1540.2862856388092,13000000000
Llama-2-7b-hf,gptq,b4g128,4.13,,5.3939,7.1774,4.39,3.63,812.6538500785828,7000000000
Llama-2-7b-hf,gptq,b4g32,4.51,,5.3859,7.1101,4.74,3.98,825.9306561946869,7000000000
Meta-Llama-3-8B,gptq,b3g32,3.51,,17.758,17.9848,4.88,4.88,976.306769132614,8000000000
Llama-2-13b-hf,gptq,b3g32,3.51,,5.0878,6.9585,5.93,5.93,1546.1331825256348,13000000000
Meta-Llama-3-8B,gptq,b3g64,3.25,,11.1596,14.3308,4.64,4.64,1056.0845897197723,8000000000
Llama-2-13b-hf,gptq,b4g32,4.51,,4.7167,6.537,8.43,7.45,1545.0226376056671,13000000000
Llama-2-13b-hf,gptq,b3g64,3.25,,5.1423,7.0625,5.49,5.49,1538.153817653656,13000000000
Llama-2-7b-hf,gptq,b4g64,4.25,,5.3901,7.1289,4.5,3.74,819.5383853912354,7000000000
